order_id,customer_id,product_id,quantity,order_date,status
1001,1,101,1,2024-01-10,completed
1002,2,102,2,2024-01-12,completed
1003,1,105,1,2024-01-15,completed
1004,3,103,1,2024-01-20,completed
1005,4,104,3,2024-02-01,completed
1006,5,106,2,2024-02-05,completed
1007,2,107,1,2024-02-10,completed
1008,6,101,2,2024-02-14,completed
1009,7,108,1,2024-02-20,completed
1010,3,102,1,2024-02-25,shipped
1011,8,105,2,2024-03-01,shipped
1012,1,106,4,2024-03-05,shipped
1013,5,103,1,2024-03-10,pending
1014,4,107,2,2024-03-12,pending
1015,6,104,1,2024-03-15,pending
1016,7,101,1,2024-03-18,completed
1017,8,102,3,2024-03-20,completed
1018,2,108,2,2024-03-22,completed
